name,city,region
Lycée Philippe Zinda Kaboré,Ouagadougou,Centre
Lycée Bogodogo,Ouagadougou,Centre
Lycée Marien N'Gouabi,Ouagadougou,Centre
Lycée Nelson Mandela,Ouagadougou,Centre
Collège Saint Viateur,Ouagadougou,Centre
Lycée Municipal de Ouagadougou,Ouagadougou,Centre
Lycée Technique National Sourgou,Ouagadougou,Centre
Lycée Bambata,Ouagadougou,Centre
Collège Sainte Marie,Ouagadougou,Centre
Lycée Yennenga,Ouagadougou,Centre
Lycée Municipal de Bobo-Dioulasso,Bobo-Dioulasso,Hauts-Bassins
Lycée Ouezzin Coulibaly,Bobo-Dioulasso,Hauts-Bassins
Groupe Scolaire La Fraternité,Bobo-Dioulasso,Hauts-Bassins
Lycée Provincial du Houet,Bobo-Dioulasso,Hauts-Bassins
Lycée Provincial de Koudougou,Koudougou,Centre-Ouest
Lycée Provincial de Ouahigouya,Ouahigouya,Nord
Lycée Provincial de Fada N'Gourma,Fada N'Gourma,Est
Lycée Provincial de Kaya,Kaya,Centre-Nord
Lycée Provincial de Tenkodogo,Tenkodogo,Centre-Est
Lycée Provincial de Dédougou,Dédougou,Boucle du Mouhoun
